S1,S2,S3,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Indep.
15,15,15,15,15,15,15,15,15,15,15,15,15,1
15,15,15,2,15,15,15,3,4,1,15,15,15,5
15,15,15,15,15,15,15,15,15,15,15,15,15,1
15,15,15,15,3,1,4,15,15,15,15,2,15,5
15,15,15,7,6,15,5,1,2,15,15,3,4,8
15,15,15,1,3,5,4,6,2,8,7,9,15,10
12,9,5,10,6,3,2,1,7,13,11,4,8,14
4,3,15,2,7,6,15,15,5,15,1,15,15,8
6,7,4,1,8,10,3,9,2,11,5,15,15,12
15,15,15,3,6,4,5,7,1,2,8,10,9,11
15,15,15,15,15,15,15,15,15,15,15,15,15,1
5,2,6,1,15,15,15,3,4,15,15,15,15,7
15,15,15,15,5,2,4,15,3,15,1,15,15,6
15,15,15,3,2,15,5,15,4,15,15,15,1,6
15,15,15,15,15,15,15,15,15,15,15,15,15,1
6,15,15,2,5,4,1,15,3,15,15,15,15,7
15,4,15,1,15,3,15,5,7,2,15,6,15,8
15,15,15,5,9,6,2,8,4,7,1,3,15,10
15,15,15,1,15,15,15,15,15,15,15,15,15,2
15,15,15,3,15,4,15,15,2,1,15,15,15,5
15,15,15,15,1,15,15,15,15,15,15,2,3,4
6,5,7,2,15,3,4,8,1,15,15,15,15,9
3,15,15,1,15,15,15,15,15,15,15,15,15,2
15,15,15,2,3,1,15,4,5,15,15,15,15,6
15,15,15,1,15,15,15,15,2,15,15,15,15,3
15,15,15,15,15,15,15,15,15,15,15,15,15,1
2,3,15,1,15,15,5,15,4,15,15,15,15,6
3,2,15,1,15,8,5,7,4,9,6,15,15,10
15,15,15,15,15,15,15,15,15,15,15,15,15,1
4,3,5,1,15,7,15,2,6,15,15,15,15,8
15,15,15,2,15,1,15,15,15,15,15,15,15,3
15,15,15,2,15,15,15,15,3,4,1,15,15,5
15,15,15,15,15,2,15,15,15,15,3,1,15,4
15,15,15,4,7,3,2,15,5,15,1,6,15,8
15,15,15,4,7,6,3,8,5,1,2,15,15,9
15,15,15,15,6,1,3,15,4,15,5,2,7,8
15,15,15,1,15,15,15,15,15,15,15,15,15,2
15,15,15,1,8,4,6,3,5,15,2,15,7,9
15,15,15,15,15,4,3,15,6,15,1,5,2,7
2,1,15,3,15,5,15,15,15,15,6,4,15,7
15,15,15,1,15,15,15,15,15,2,3,15,15,4
15,15,15,1,15,2,15,15,15,15,15,15,15,3
15,15,15,1,15,15,15,15,15,15,15,15,15,2
15,15,15,15,15,1,4,3,15,15,2,5,15,6
15,15,1,2,15,15,15,15,15,15,15,15,15,3
2,3,4,1,15,15,15,15,15,15,15,15,15,5
2,4,3,1,15,15,15,15,15,15,15,15,15,5
15,15,15,1,15,15,15,15,15,15,15,15,15,2
15,15,15,15,15,15,15,15,15,15,15,15,15,1
2,15,1,3,15,15,15,15,15,15,15,15,15,4
3,1,15,2,15,15,15,15,15,15,15,15,15,4
2,1,3,4,15,15,15,15,15,15,15,15,15,5
1,15,2,3,15,15,15,15,15,15,15,15,15,4
1,2,3,15,15,15,15,15,15,15,15,15,15,4
15,15,2,1,15,15,15,15,3,15,15,15,15,4
15,15,2,1,15,15,15,15,15,15,15,15,15,3
1,4,2,3,15,15,15,15,15,15,15,15,15,5
1,2,4,3,15,15,15,15,15,15,15,15,15,5
15,15,2,1,15,15,15,15,15,15,15,15,15,3
2,4,3,1,15,15,15,15,15,15,15,15,15,5
1,15,2,15,15,15,15,15,15,15,15,15,15,3
2,15,1,3,15,15,15,15,15,15,15,15,15,4
3,2,15,1,15,15,15,15,15,15,15,15,15,4
1,15,2,15,15,15,15,15,15,15,15,15,15,3
1,2,15,3,15,15,15,15,15,15,15,15,15,4
